"";"x"
"600";881
"601";882
"602";461
"603";461
"604";3
"605";895
"606";465
"607";863
"608";851
"609";850
"610";7
"611";7
"612";845
"613";15
"614";151
"615";839
"616";496
"617";891
"618";828
"619";827
"620";14
"621";821
"622";473
"623";832
"624";809
"625";806
"626";274
"627";799
"628";42
"629";42
"630";42
"631";42
"632";787
"633";276
"634";14
"635";785
"636";7
"637";7
"638";774
"639";773
"640";5
"641";271
"642";271
"643";271
"644";7
"645";14
"646";114
"647";749
"648";739
"649";738
"650";736
"651";146
"652";728
"653";737
"654";168
"655";168
"656";718
"657";503
"658";4
"659";714
"660";31
"661";44
"662";44
"663";44
"664";40
"665";684
"666";674
"667";64
"668";64
"669";40
"670";40
"671";40
"672";644
"673";486
"674";637
"675";258
"676";630
"677";7
"678";635
"679";31
"680";622
"681";16
"682";615
"683";612
"684";609
"685";7
"686";669
"687";81
"688";81
"689";597
"690";595
"691";591
"692";65
"693";590
"694";39
"695";180
"696";37
"697";7
"698";114
"699";114
"700";563
"701";7
"702";220
"703";559
"704";22
"705";22
"706";22
"707";547
"708";494
"709";542
"710";57
"711";2124
"712";2119
"713";313
"714";2109
"715";537
"716";2103
"717";7
"718";7
"719";7
"720";307
"721";228
"722";535
"723";12
"724";12
"725";12
"726";2082
"727";2078
"728";2075
"729";2072
"730";2071
"731";2070
"732";2066
"733";3
"734";172
"735";2059
"736";336
"737";2053
"738";2054
"739";2051
"740";2046
"741";8
"742";49
"743";2037
"744";2034
"745";7
"746";7
"747";197
"748";197
"749";7
"750";7
"751";2029
"752";2019
"753";2013
"754";2012
"755";269
"756";269
"757";2006
"758";2000
"759";1998
"760";92
"761";4
"762";4
"763";68
"764";1991
"765";1990
"766";1986
"767";1984
"768";1982
"769";7
"770";245
"771";7
"772";7
"773";7
"774";1955
"775";1956
"776";193
"777";265
"778";1943
"779";1946
"780";209
"781";209
"782";1934
"783";361
"784";1923
"785";1932
"786";1921
"787";1917
"788";1922
"789";1930
"790";522
"791";1914
"792";10
"793";15
"794";37
"795";1898
"796";521
"797";1893
"798";1895
"799";1886
"800";1877
"801";1883
"802";1872
"803";1892
"804";1865
"805";39
"806";48
"807";1853
"808";3
"809";1855
"810";1847
"811";1843
"812";1842
"813";265
"814";215
"815";1840
"816";1836
"817";123
"818";108
"819";108
"820";158
"821";158
"822";1814
"823";1808
"824";1807
"825";150
"826";32
"827";32
"828";32
"829";1787
"830";1783
"831";272
"832";245
"833";1777
"834";1765
"835";7
"836";32
"837";89
"838";89
"839";1749
"840";1774
"841";2
"842";2
"843";513
"844";13
"845";12
"846";76
"847";515
"848";347
"849";1565
"850";1718
"851";7
"852";114
"853";383
"854";7
"855";28
"856";1543
"857";488
"858";63
"859";1537
"860";407
"861";407
"862";1536
"863";201
"864";7
"865";7
"866";7
"867";1524
"868";7
"869";7
"870";1519
"871";1514
"872";14
"873";14
"874";1513
"875";361
"876";336
"877";504
"878";2
"879";1510
"880";1504
"881";13
"882";14
"883";14
"884";14
"885";7
"886";55
"887";412
"888";167
"889";167
"890";14
"891";39
"892";247
"893";247
"894";39
"895";49
"896";84
"897";84
"898";84
"899";436
"900";1467
"901";1466
"902";1463
"903";527
"904";1460
"905";293
"906";268
"907";7
"908";198
"909";198
"910";1433
"911";337
"912";1426
"913";7
"914";228
"915";520
"916";297
"917";297
"918";1411
"919";121
"920";121
"921";121
"922";121
"923";14
"924";1388
"925";1403
"926";1383
"927";12
"928";7
"929";7
"930";7
"931";7
"932";1377
"933";7
"934";7
"935";7
"936";7
"937";7
"938";7
"939";1355
"940";232
"941";232
"942";7
"943";7
"944";1453
"945";1350
"946";1345
"947";1347
"948";1339
"949";7
"950";1337
"951";1348
"952";1333
"953";1336
"954";421
"955";421
"956";1324
"957";1321
"958";7
"959";7
"960";7
"961";7
"962";1307
"963";1308
"964";423
"965";423
"966";1304
"967";1303
"968";1302
"969";1311
"970";41
"971";119
"972";41
"973";93
"974";93
"975";7
"976";7
"977";7
"978";7
"979";1282
"980";7
"981";7
"982";14
"983";1280
"984";1271
"985";1269
"986";7
"987";1322
"988";1259
"989";144
"990";144
"991";1263
"992";7
"993";7
"994";1246
"995";46
"996";1243
"997";1245
"998";1256
"999";1241
"1000";1237
"1001";108
"1002";1235
"1003";7
"1004";261
"1005";242
"1006";242
"1007";242
"1008";242
"1009";1224
"1010";112
"1011";112
"1012";1232
"1013";1214
"1014";7
"1015";431
"1016";1202
"1017";501
"1018";501
"1019";279
"1020";1196
"1021";1195
"1022";1192
"1023";1193
"1024";251
"1025";7
"1026";1177
"1027";1176
"1028";1184
