"";"x"
"612";2154
"613";600
"614";600
"615";41
"616";861
"617";388
"618";717
"619";2105
"620";703
"621";67
"622";196
"623";1974
"624";126
"625";249
"626";2167
"627";493
"628";2025
"629";714
"630";1826
"631";2
"632";2221
"633";602
"634";837
"635";2041
"636";824
"637";293
"638";1930
"639";145
"640";145
"641";145
"642";145
"643";2208
"644";315
"645";2
"646";838
"647";12
"648";12
"649";1931
"650";767
"651";47
"652";294
"653";294
"654";294
"655";617
"656";2
"657";182
"658";2093
"659";756
"660";791
"661";1919
"662";237
"663";1946
"664";862
"665";264
"666";264
"667";1957
"668";389
"669";3
"670";2072
"671";91
"672";74
"673";74
"674";74
"675";71
"676";1973
"677";2176
"678";42
"679";42
"680";71
"681";71
"682";71
"683";71
"684";2173
"685";2168
"686";2028
"687";825
"688";307
"689";1345
"690";63
"691";2209
"692";91
"693";2055
"694";38
"695";642
"696";705
"697";715
"698";19
"699";708
"700";207
"701";207
"702";2225
"703";2112
"704";740
"705";111
"706";683
"707";25
"708";271
"709";26
"710";52
"711";182
"712";182
"713";684
"714";44
"715";623
"716";2113
"717";98
"718";98
"719";98
"720";2061
"721";390
"722";688
"723";174
"724";2114
"725";1977
"726";494
"727";1969
"728";603
"729";2152
"730";4
"731";12
"732";12
"733";616
"734";16
"735";495
"736";352
"737";352
"738";68
"739";2151
"740";2056
"741";2050
"742";902
"743";2158
"744";2100
"745";2133
"746";18
"747";424
"748";903
"749";496
"750";691
"751";2115
"752";734
"753";1346
"754";362
"755";36
"756";1932
"757";2116
"758";55
"759";55
"760";128
"761";128
"762";44
"763";54
"764";763
"765";692
"766";649
"767";774
"768";316
"769";316
"770";863
"771";2085
"772";2159
"773";99
"774";3
"775";3
"776";61
"777";2169
"778";1347
"779";1947
"780";741
"781";2026
"782";50
"783";219
"784";625
"785";31
"786";31
"787";643
"788";2075
"789";339
"790";295
"791";810
"792";2090
"793";55
"794";55
"795";904
"796";497
"797";1978
"798";2197
"799";634
"800";1979
"801";764
"802";1980
"803";498
"804";702
"805";94
"806";130
"807";61
"808";2179
"809";399
"810";2095
"811";2219
"812";1348
"813";1349
"814";1975
"815";757
"816";2096
"817";2187
"818";25
"819";8
"820";1981
"821";45
"822";2134
"823";2162
"824";2008
"825";1350
"826";295
"827";630
"828";792
"829";2163
"830";93
"831";161
"832";161
"833";265
"834";265
"835";1982
"836";696
"837";2042
"838";241
"839";21
"840";21
"841";21
"842";817
"843";1983
"844";296
"845";219
"846";699
"847";2164
"848";135
"849";21
"850";644
"851";228
"852";228
"853";228
"854";2103
"855";2069
"856";1
"857";1
"858";864
"859";905
"860";23
"861";20
"862";391
"863";499
"864";6
"865";2117
"866";1984
"867";1985
"868";44
"869";182
"870";500
"871";49
"872";118
"873";645
"874";392
"875";69
"876";1895
"877";501
"878";501
"879";818
"880";348
"881";108
"882";54
"883";11
"884";2057
"885";54
"886";54
"887";846
"888";906
"889";2
"890";2
"891";1351
"892";497
"893";496
"894";393
"895";2233
"896";907
"897";2073
"898";350
"899";2
"900";2
"901";2
"902";7
"903";189
"904";502
"905";266
"906";266
"907";2
"908";25
"909";165
"910";165
"911";165
"912";25
"913";36
"914";208
"915";208
"916";208
"917";394
"918";690
"919";1986
"920";758
"921";395
"922";908
"923";317
"924";297
"925";11
"926";359
"927";359
"928";2074
"929";396
"930";2118
"931";135
"932";16
"933";503
"934";318
"935";318
"936";2201
"937";46
"938";46
"939";46
"940";46
"941";2
"942";1987
"943";689
"944";875
"945";13
"946";33
"947";33
"948";11
"949";11
"950";2161
"951";11
"952";7
"953";347
"954";11
"955";11
"956";11
"957";41
"958";909
"959";141
"960";141
"961";11
"962";11
"963";2091
"964";651
"965";1827
"966";759
"967";760
"968";44
"969";2070
"970";2135
"971";830
"972";761
"973";397
"974";397
"975";1859
"976";2213
"977";196
"978";198
"979";11
"980";11
"981";1948
"982";2214
"983";504
"984";504
"985";1860
"986";2051
"987";1828
"988";1861
"989";121
"990";136
"991";121
"992";192
"993";192
"994";88
"995";29
"996";88
"997";88
"998";88
"999";1862
"1000";347
"1001";54
"1002";347
"1003";2
"1004";910
"1005";1949
"1006";660
"1007";55
"1008";1896
"1009";1920
"1010";183
"1011";183
"1012";183
"1013";2119
"1014";88
"1015";29
"1016";2136
"1017";109
"1018";1863
"1019";1864
"1020";2052
"1021";1988
"1022";1989
"1023";161
"1024";1865
"1025";80
"1026";298
"1027";220
"1028";220
"1029";220
"1030";220
"1031";2178
"1032";184
"1033";184
"1034";1352
"1035";648
"1036";44
"1037";398
"1038";1829
"1039";505
"1040";505
"1041";299
"1042";2120
"1043";2191
"1044";911
"1045";876
"1046";213
"1047";195
"1048";1830
"1049";2107
"1050";1971
"1051";2009
"1052";1831
"1053";1866
"1054";131
"1055";131
"1056";103
"1057";2010
"1058";260
"1059";79
"1060";1832
"1061";1
"1062";349
"1063";742
"1064";1833
"1065";15
"1066";59
"1067";2230
"1068";131
"1069";1990
"1070";2
"1071";2
"1072";1
"1073";721
"1074";2155
"1075";13
"1076";134
"1077";1834
"1078";1835
"1079";2156
"1080";119
"1081";912
"1082";15
"1083";2086
"1084";122
"1085";793
"1086";195
"1087";162
"1088";2071
"1089";794
"1090";658
"1091";489
"1092";1353
"1093";877
"1094";1836
"1095";1837
"1096";685
"1097";452
"1098";349
"1099";15
"1100";15
"1101";15
"1102";15
"1103";15
"1104";913
"1105";15
"1106";142
"1107";142
"1108";142
"1109";166
"1110";166
"1111";166
"1112";732
"1113";754
"1114";1867
"1115";839
"1116";31
"1117";1354
"1118";2121
"1119";819
"1120";1991
"1121";775
"1122";117
"1123";117
"1124";117
"1125";117
"1126";117
"1127";117
"1128";117
"1129";70
"1130";19
"1131";70
"1132";62
"1133";70
"1134";399
"1135";19
"1136";154
"1137";70
"1138";127
"1139";19
"1140";90
"1141";90
"1142";90
"1143";1868
"1144";1838
"1145";795
"1146";2108
"1147";914
"1148";267
"1149";267
"1150";180
"1151";180
"1152";180
"1153";180
"1154";1857
"1155";490
"1156";1950
"1157";4
"1158";865
"1159";425
"1160";400
"1161";400
"1162";1839
"1163";32
"1164";506
"1165";915
"1166";916
"1167";796
"1168";188
"1169";32
"1170";2137
"1171";146
"1172";152
"1173";878
"1174";507
"1175";917
"1176";743
"1177";2011
"1178";2122
"1179";1907
"1180";666
"1181";192
"1182";2101
"1183";5
"1184";820
"1185";5
"1186";1933
"1187";1921
"1188";2138
"1189";1934
"1190";1935
"1191";26
"1192";26
"1193";26
"1194";26
"1195";26
"1196";2234
"1197";2
"1198";2
"1199";118
"1200";217
"1201";300
"1202";81
"1203";858
"1204";1936
"1205";1951
"1206";279
"1207";279
"1208";98
"1209";508
"1210";834
"1211";2012
"1212";258
"1213";1897
"1214";918
"1215";919
"1216";920
"1217";69
"1218";812
"1219";60
"1220";780
"1221";1869
"1222";2043
"1223";509
"1224";509
"1225";401
