"";"x"
"599";95
"600";95
"601";950
"602";920
"603";916
"604";913
"605";908
"606";493
"607";44
"608";44
"609";44
"610";44
"611";874
"612";873
"613";469
"614";469
"615";2
"616";847
"617";486
"618";838
"619";834
"620";832
"621";4
"622";4
"623";828
"624";18
"625";155
"626";827
"627";433
"628";820
"629";818
"630";813
"631";16
"632";806
"633";476
"634";793
"635";790
"636";784
"637";295
"638";772
"639";46
"640";46
"641";46
"642";46
"643";765
"644";289
"645";16
"646";759
"647";4
"648";4
"649";754
"650";747
"651";10
"652";255
"653";255
"654";255
"655";6
"656";16
"657";117
"658";728
"659";726
"660";722
"661";719
"662";141
"663";717
"664";712
"665";186
"666";186
"667";702
"668";406
"669";1
"670";730
"671";34
"672";48
"673";48
"674";48
"675";23
"676";669
"677";668
"678";66
"679";66
"680";23
"681";23
"682";23
"683";23
"684";634
"685";632
"686";630
"687";626
"688";257
"689";623
"690";4
"691";610
"692";34
"693";604
"694";31
"695";597
"696";608
"697";595
"698";4
"699";594
"700";89
"701";89
"702";584
"703";582
"704";581
"705";67
"706";573
"707";42
"708";168
"709";158
"710";4
"711";117
"712";117
"713";551
"714";4
"715";215
"716";2134
"717";27
"718";27
"719";27
"720";2132
"721";309
"722";2122
"723";55
"724";2115
"725";2114
"726";538
"727";2108
"728";306
"729";2104
"730";4
"731";78
"732";78
"733";535
"734";221
"735";316
"736";9
"737";9
"738";9
"739";2066
"740";2064
"741";2063
"742";2061
"743";2059
"744";2058
"745";2062
"746";2
"747";319
"748";2054
"749";324
"750";2057
"751";2051
"752";2047
"753";2046
"754";11
"755";49
"756";2034
"757";2031
"758";19
"759";19
"760";199
"761";199
"762";4
"763";4
"764";2018
"765";2020
"766";2017
"767";2015
"768";261
"769";261
"770";2007
"771";2004
"772";2000
"773";93
"774";1
"775";1
"776";26
"777";1991
"778";1987
"779";1985
"780";1980
"781";1982
"782";4
"783";241
"784";4
"785";4
"786";4
"787";1968
"788";1962
"789";192
"790";278
"791";1957
"792";1953
"793";19
"794";19
"795";1938
"796";348
"797";1935
"798";1932
"799";1924
"800";1922
"801";1942
"802";1918
"803";346
"804";1909
"805";13
"806";18
"807";26
"808";1904
"809";362
"810";1903
"811";1899
"812";1898
"813";1895
"814";1897
"815";2024
"816";1887
"817";1884
"818";42
"819";51
"820";1875
"821";2
"822";1861
"823";1859
"824";1851
"825";1848
"826";278
"827";4
"828";1840
"829";1841
"830";127
"831";112
"832";112
"833";188
"834";188
"835";1827
"836";1829
"837";1890
"838";136
"839";36
"840";36
"841";36
"842";1810
"843";1801
"844";271
"845";241
"846";1790
"847";1784
"848";4
"849";36
"850";1768
"851";132
"852";132
"853";132
"854";1759
"855";1753
"856";6
"857";6
"858";1714
"859";1711
"860";9
"861";77
"862";389
"863";386
"864";17
"865";1574
"866";1572
"867";1571
"868";4
"869";117
"870";400
"871";4
"872";30
"873";1725
"874";312
"875";65
"876";1541
"877";451
"878";451
"879";1532
"880";203
"881";4
"882";4
"883";4
