id,length,text,publisher_pro,isbn_new,year_min,year_max,record,walktrap-npre-unweighted-nimp,walktrap-npre-unweighted-imp,louvain-npre-unweighted-nimp,louvain-npre-unweighted-imp,infomap-npre-unweighted-nimp,infomap-npre-unweighted-imp
1394,1,greenwood,greenwood,1--4408;0--313,1987,2017,2,7,7,832,832,150,55
1395,1,greenwood press,greenwood press,0--8371;0--313,1968,1987,20,7,7,832,832,150,55
1403,1,grosset and dunlap,grosset and dunlap,0--606;0--605;0--515;0--451;0--448,1965,2017,11,7,7,832,832,17,5
1404,1,grossman publishers,grossman publishers,0--670,1972,1972,1,7,7,1274,1274,16,17
1406,1,grove,grove,0--394,1973,1973,1,7,7,517,517,9,11
1424,1,hachette books,hachette books,1--5098;0--316,2015,2018,4,7,7,1440,1440,195,193
1432,1,hamish hamilton,hamish hamilton,0--241,1973,1982,3,7,7,1274,1274,191,190
1438,1,harcourt,harcourt,1--4420;0--7569;0--15,1999,2006,6,7,7,1274,1274,99,95
1439,1,harcourt brace and world,harcourt brace and world,0--15,1970,1970,1,7,7,1274,1274,36,35
1440,1,harcourt brace jovanovich,harcourt brace jovanovich,0--590;0--15,1974,1980,7,7,7,1274,1274,152,151
1441,1,harcourt school,harcourt school,0--15,200u,200u,1,7,7,1274,1274,36,35
1444,1,harlem moon,harlem moon,0--7394;0--385,2007,2007,1,7,7,1274,1274,83,74
1450,1,harmony press,harmony press,0--517,1975,1975,1,7,7,517,517,41,41
1451,1,harper,harper,0--606;0--567;0--665;0--00;0--691;0--06;1--5182,1974,2019,31,7,7,832,832,31,5
1452,1,harper and row,harper and row,0--8335;0--8371;0--19;0--06,1963,1988,21,7,7,832,832,150,55
1453,1,harper and row publishers,harper and row publishers,0--06,1975,1975,1,7,7,832,832,4,8
1454,2,harper collins;;harpercollins,harper collins;;harpercollins,0--7587;0--06;0--207;1--4242;0--88103;0--201;0--00,1985,2015,19,7,7,832,832,62,117
