"id","length","text","isbn_new","year_min","year_max","record","group"
108,1,"amazonencore","1--4778","2014","2014",1,211
109,1,"ameco pub","0--912146","1992","1992",1,1449
110,1,"amelia cotter","1--5300","2017","2017",1,1432
111,1,"amereon house","0--8488","1976","1995",2,1417
112,1,"america star books","1--4819","2013","2013",1,62
113,1,"america's best comics","1--56389","1999","1999",1,1394
114,1,"american academy of pediatrics","1--61002","2017","2017",1,1378
115,1,"american association of state highway and transportation officials","1--56051","2012","2014",2,1362
116,1,"american association of university professors","0--252","2014","2014",1,7
117,1,"american bar association","1--61438","2013","2013",1,1333
118,1,"american bar association law practice management section","1--59031","2002","2002",1,1312
119,1,"american ceramic society","0--470","1981","1981",1,3
120,1,"american chemical society","0--88318;0--8412","1973","2015",6,384
121,1,"american geological institute","0--913312","1977","1977",1,1270
122,1,"american geriatrics society","1--886775","2019","2019",1,1253
123,1,"american girl","1--60958","2016","2016",1,1236
124,1,"american girl publishing","1--68337","2018","2018",1,1223
125,1,"american health lawyers association","1--5221","2017","2017",1,1215
126,1,"american hospital pub","0--939450","1985","1985",1,1205
127,1,"american hotel and lodging educational institute","0--86612","2012","2012",1,1192
128,1,"american institute of architects","1--57165","2017","2017",1,1186
129,1,"american institute of certified public accountants inc","1--943546","2016","2016",1,1170
130,1,"american institute of physics","0--7354;1--56396","1994","2012",2,69
131,1,"american library association","0--8389","1970","2013",2,1129
132,1,"american management association","0--8144","2015","2015",1,186
133,1,"american mathematical scociety","0--8218","2007","2007",1,153
134,1,"american mathematical society","1--4704;0--8218","1970","2016",15,153
135,1,"american medical association","0--89970","1983","1983",1,1088
136,1,"american nurses association","1--947800","2018","2018",1,1076
137,1,"american philosophical society","0--87169","1995","1995",1,1059
138,1,"american psychiatric","0--88048","1999","1999",1,1051
139,1,"american psychiatric association","0--89042","1999","1999",1,1038
140,1,"american psychiatric publishing","1--58562","2015","2015",1,276
141,1,"american psychiatric publishing inc","1--58562","2010","2010",1,276
142,1,"american psychological association","1--4338","2010","2018",6,338
143,1,"american revolution bicentennial commission of connecticut","0--918676","1979","1979",1,991
144,1,"american society of agronomy","0--89118","2008","2008",1,985
145,1,"american society of civil engineers","0--7844;1--63266","1999","2019",5,268
146,1,"american society of health-system pharmacists","1--58528","2016","2016",1,959
147,1,"american society of plant taxonomists","1--943751","2019","2019",1,950
148,1,"american university","1--339","2015","2015",1,96
149,1,"american-israeli cooperative enterprise","0--9712945","2002","2002",1,921
150,1,"amg publishers","0--89957","2001","2001",1,326
151,1,"amherst college press","1--943208","2016","2016",1,902
152,1,"amherst media inc","1--68203","2019","2019",1,891
153,1,"amicus illustrated","1--60753","2015","2015",1,265
