index,F001_a,isbn_tag,isbn_tag1,F008_0710,F26x_b_cleaned,class,publisher1,publisher2
1086,1081423361,1--4222,1--4222,2019,"mason crest, an imprint of national highlights inc",imprint,"mason crest, ", national highlights inc
1089,939196036,0--8232,0--8232,2016,"empire state editions, an imprint of fordham university press",imprint,"empire state editions, ", fordham university press
1092,913304312,1--5011,1--5011,2015,"howard books, an imprint of simon and schuster inc",imprint,"howard books, ", simon and schuster inc
1095,962196315,1--68077,1--68077,2016,"checkerboard library, an imprint of abdo publishing",imprint,"checkerboard library, ", abdo publishing
1100,945784585,0--297 ;; 1--4746,0--297,2017,"weidenfeld and nicolson, an imprint of the orion publishing group ltd",imprint,"weidenfeld and nicolson, ", the orion publishing group ltd
1108,1015800255,1--101,1--101,2017,"dutton, an imprint of penguin random house llc",imprint,"dutton, ", penguin random house llc
1110,952156341,0--7515,0--7515,2017,"sphere press, an imprint of little, brown book group",imprint,"sphere press, "," little, brown book group"
1114,933517227,0--06,0--06,2016,"harper, an imprint of harpercollinspublishers",imprint,"harper, ", harpercollinspublishers
1116,869807977,0--7636,0--7636,2014,"nosy crow, an imprint of candlewick press",imprint,"nosy crow, ", candlewick press
1125,956775565,1--4742,1--4742,2016,"bloomsbury academic, and imprint of bloomsbury publishing plc",imprint,,
1126,909812297,,,2015,"bloomsbury mehtuen drama, an imprint of bloomsbury publishing plc",imprint,"bloomsbury mehtuen drama, ", bloomsbury publishing plc
1141,1020428258,0--545,0--545,2016,"orchard books, an imprint of scholastic inc",imprint,"orchard books, ", scholastic inc
1143,884440043,0--7660,0--7660,2015,"enslow elementary, an imprint of enslow publishers inc",imprint,"enslow elementary, ", enslow publishers inc
1145,914229435,1--4381,1--4381,2013,"chelsea house, an imprint of infobase learning",imprint,"chelsea house, ", infobase learning
1147,1055140619,1--78681,1--78681,2018,"bookouture, an imprint of storyfire ltd",imprint,"bookouture, ", storyfire ltd
1163,1046675286,1--4408,1--4408,2018,"prager, an imprint of abc-clio llc",imprint,"prager, ", abc-clio llc
1170,951745115,1--61069,1--61069,2015,"greenwood, an imprint of abc-clio llc",imprint,"greenwood, ", abc-clio llc
1174,1000553480,0--06,0--06,2017,"william morrow, an imprint of harpercollinspublishers",imprint,"william morrow, ", harpercollinspublishers
1175,1079001426,1--4742,1--4742,2017,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint,"bloomsbury academic, ", bloomsbury publishing plc
