index,F001_a,isbn_tag,isbn_tag1,F008_0710,F26x_b_cleaned,class,publisher1,publisher2
605,961880219,0--307,0--307,2013,"broadway books, an imprint of the crown publishing group",imprint,"broadway books, ", the crown publishing group
606,874044427,1--59514,1--59514,2014,"razorbill, an imprint of penguin group (usa)",imprint,"razorbill, ", penguin group (usa)
607,1082243392,0--203,0--203,2002,"routledge, an imprint of taylor and francis",imprint,"routledge, ", taylor and francis
609,1078952818,,,2018,"lexington books, an imprint of the rowman and littlefield publishing group inc",imprint,"lexington books, ", the rowman and littlefield publishing group inc
617,1004750428,0--06,0--06,2017,"harpervoyager, an imprint of harpercollinspublishers",imprint,"harpervoyager, ", harpercollinspublishers
619,852221999,0--448,0--448,2014,"grosset and dunlap, an imprint of the penguin group (usa) llc",imprint,"grosset and dunlap, ", the penguin group (usa) llc
622,925398015,0--399,0--399,2016,"tarcher perigee, an imprint of random house llc",imprint,"tarcher perigee, ", random house llc
623,880570862,0--06,0--06,2014,"william morrow, an imprint of harpercollins publishers",imprint,"william morrow, ", harpercollins publishers
626,1071834103,1--4822,1--4822,2018,"taylor and francis, an imprint of crc press",imprint,"taylor and francis, ", crc press
627,1001814666,0--399,0--399,2017,"g.p. putnam's sons, an imprint of penguin random house llc",imprint,"g.p. putnam's sons, ", penguin random house llc
628,1055914554,1--5345,1--5345,2019,"kidhaven publishing, an imprint of greenhaven publishing",imprint,"kidhaven publishing, ", greenhaven publishing
629,1090143010,1--4926,1--4926,2019,"sourcebooks jabberwocky, an imprint of sourcebooks inc",imprint,"sourcebooks jabberwocky, ", sourcebooks inc
638,1011094450,0--316,0--316,2017,"jy, an imprint of yen press",imprint,"jy, ", yen press
641,871820826,0--545,0--545,2014,"orchard books, an imprint of scholastic inc",imprint,"orchard books, ", scholastic inc
644,1023647225,0--06,0--06,2018,"harper, an imprint of harpercollinspublishers",imprint,"harper, ", harpercollinspublishers
645,956316590,1--63373,1--63373,2016,"galway press, an imprint of oghma creative media",imprint,"galway press, ", oghma creative media
649,1033603391,0--06,0--06,2018,"william morrow, an imprint of harpercollins publishers",imprint,"william morrow, ", harpercollins publishers
650,1008771453,1--5013,1--5013,2018,"bloomsbury academic, an imprint of bloomsbury publishing inc",imprint,"bloomsbury academic, ", bloomsbury publishing inc
653,960165441,1--350,1--350,2017,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint,"bloomsbury academic, ", bloomsbury publishing plc
659,892700689,0--06,0--06,2015,"greenwillow books, an imprint of harpercollinspublishers",imprint,"greenwillow books, ", harpercollinspublishers
661,933274456,0--12,0--12,2015,morgan kaufmann is an imprint of elsevier,imprint,morgan kaufmann , elsevier
670,1033625850,1--5013,1--5013,2017,"bloomsbury academic, an imprint of bloomsbury publishing inc",imprint,"bloomsbury academic, ", bloomsbury publishing inc
674,1030256763,0--00,0--00,2017,"william collins, an imprint of harpercollins publishers",imprint,"william collins, ", harpercollins publishers
681,967029594,0--06,0--06,2017,"harper, an imprint of harpercollinspublishers",imprint,"harper, ", harpercollinspublishers
684,1016980521,0--06,0--06,2013,"william morrow, an imprint of harpercollins publishers",imprint,"william morrow, ", harpercollins publishers
695,1024087290,1--4965,1--4965,2019,"stone arch books, a capstone imprint",imprint,,
696,964282870,1--945500,1--945500,2016,"nrp books, an imprint of 1517 the legacy project",imprint,"nrp books, ", 1517 the legacy project
697,928483322,1--59920,1--59920,2016,"smart apple media, an imprint of black rabbit books",imprint,"smart apple media, ", black rabbit books
700,952700854,1--4742,1--4742,2017,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint,"bloomsbury academic, ", bloomsbury publishing plc
705,1088914835,1--4408,1--4408,2018,"abc-clio, an imprint of abc-clio llc",imprint,"abc-clio, ", abc-clio llc
708,962303003,0--12,0--12,2016,academic press is an imprint of elsevier,imprint,academic press , elsevier
710,1010634460,1--5132,1--5132,2018,"westwinds press, an imprint of graphic arts books",imprint,"westwinds press, ", graphic arts books
713,1069671677,1--351,1--351,2018,"taylor and francis, an imprint of crc press",imprint,"taylor and francis, ", crc press
719,1055554496,1--5444 ;; 0--06 ;; 1--64310 ;; 1--5364,0--06,2018,"greenwillow books, an imprint of harpercollinspublishers",imprint,"greenwillow books, ", harpercollinspublishers
722,926977106,0--06,0--06,2014,"katherine tegen books, an imprint of harpercollins publishers",imprint,"katherine tegen books, ", harpercollins publishers
732,1028638371,0--12,0--12,2018,"academic press, an imprint of elsevier",imprint,"academic press, ", elsevier
733,1067235601,1--351,1--351,2018,"taylor and francis, an imprint of routledge",imprint,"taylor and francis, ", routledge
734,950968503,1--4725,1--4725,2015,"bloomsbury methuen drama, an imprint of bloomsbury publishing plc",imprint,"bloomsbury methuen drama, ", bloomsbury publishing plc
745,920816807,0--06,0--06,2016,"harper voyager, an imprint of harpercollinspublishers",imprint,"harper voyager, ", harpercollinspublishers
749,930068132,1--61745,1--61745,2016,"funstitch studio, an imprint of c and t publishing inc",imprint,"funstitch studio, ", c and t publishing inc
755,883427318,0--316,0--316,2013,"yen press, an imprint of hachette book group",imprint,"yen press, ", hachette book group
756,1082247687,0--203,0--203,2004,"routledge, an imprint of taylor and francis",imprint,"routledge, ", taylor and francis
762,829087706,0--7627,0--7627,2013,"lyons press, an imprint of globe pequot press",imprint,"lyons press, ", globe pequot press
767,1033439930,0--06,0--06,2016,"harpervoyager, an imprint of harpercollinspublishers",imprint,"harpervoyager, ", harpercollinspublishers
768,946903618,1--4822,1--4822,2016,"crc press is an imprint of the taylor and francis group, an informa business",imprint,crc press ," the taylor and francis group, an informa business"
770,917551928,1--4381,1--4381,2013,"chelsea house, an imprint of inforbase learning",imprint,"chelsea house, ", inforbase learning
774,1056623969,1--5321,1--5321,2019,"essential library, an imprint of abdo publishing",imprint,"essential library, ", abdo publishing
776,894139977,0--06,0--06,2015,"harper, an imprint of harpercollinspublishers",imprint,"harper, ", harpercollinspublishers
778,1017736082,1--84477,1--84477,2011,"hermes house, an imprint of anness publishing ltd",imprint,"hermes house, ", anness publishing ltd
779,1048939492,1--5158,1--5158,2019,"picture window books, a capstone imprint",imprint,,
783,1039320964,1--4814,1--4814,2019,"saga press, an imprint of simon and schuster inc",imprint,"saga press, ", simon and schuster inc
785,1082195209,1--135 ;; 1--315,1--315,2014,"routledge, an imprint of taylor and francis",imprint,"routledge, ", taylor and francis
786,1008774960,0--06 ;; 0--7322,0--06,2017,"william morrow, an imprint of harpercollins publishers",imprint,"william morrow, ", harpercollins publishers
794,919430933,0--12,0--12,2015,"academic press, an imprint of elsevier",imprint,"academic press, ", elsevier
802,1020250672,0--06,0--06,2018,"harperluxe, an imprint of harpercollinspublishers",imprint,"harperluxe, ", harpercollinspublishers
810,957168636,1--319,1--319,2016,"bedford/st. martin's, a macmillan education imprint",imprint,,
815,869771155,0--7636,0--7636,2014,"templar books, an imprint of candlewick press",imprint,"templar books, ", candlewick press
819,956625875,0--606 ;; 0--605 ;; 0--06 ;; 1--5182,0--06,2017,"harperfestival, an imprint of harpercollinspublishers",imprint,"harperfestival, ", harpercollinspublishers
838,733719837,0--312,0--312,1996,imprint of st. martin's press inc,imprint,,
