id,length,text,publisher_pro,isbn_new,year_min,year_max,record,walktrap-pre-unweighted-nimp,walktrap-pre-unweighted-imp,louvain-pre-unweighted-nimp,louvain-pre-unweighted-imp,infomap-pre-unweighted-nimp,infomap-pre-unweighted-imp
170,1,amicus illustrated,amicus illustrated,1--68152;1--68151,2019,2019,1,91,91,100,100,205,205
171,1,amicus ink,amicus ink,1--68152,2018,2018,1,91,91,100,100,205,205
172,1,amika press,amika press,1--937484,2015,2015,1,684,684,101,101,670,2090
173,1,amilus,amilus,1--886212,2013,2013,1,673,673,102,102,2199,792
174,1,aminso,aminso,0--9837025,2012,2012,1,665,665,103,103,723,1881
175,1,ampersand,ampersand,0--692,2015,2015,1,221,221,104,104,16,16
441,1,black pines press,black pines press,0--692,2015,2015,1,221,221,104,104,16,16
733,1,china institute gallery china institute,china institute gallery china institute,0--692,2016,2016,1,221,221,104,104,16,16
931,1,dawnrigger publishing,dawnrigger publishing,0--692,2013,2013,1,221,221,104,104,16,16
1244,1,felis books,felis books,0--692,2015,2015,1,221,221,104,104,16,16
1270,1,flipside ink llc,flipside ink llc,0--692,2015,2015,1,221,221,104,104,16,16
1446,1,guilford park publishing,guilford park publishing,0--692,2018,2018,1,221,221,104,104,16,16
1606,1,hoart llc,hoart llc,0--692,2017,2017,1,221,221,104,104,16,16
1937,1,knut house press,knut house press,0--692,2016,2016,1,221,221,104,104,16,16
2208,1,meredith rachek,meredith rachek,0--692,2014,2014,1,221,221,104,104,16,16
2462,1,opening lotus,opening lotus,0--692,2016,2016,1,221,221,104,104,16,16
2511,1,p a cook,p a cook,0--692,2016,2016,1,221,221,104,104,16,16
2522,1,page branch pub,page branch pub,0--692,2015,2015,1,221,221,104,104,16,16
2759,1,pusse partout books,pusse partout books,0--692,2014,2014,1,221,221,104,104,16,16
2896,1,rohit gaur studios,rohit gaur studios,0--692,2016,2016,1,221,221,104,104,16,16
2977,1,samuel dorsky museum of art state university of new york at new paltz,samuel dorsky museum of art state university of new york at new paltz,0--692,2016,2016,1,221,221,104,104,16,16
3264,1,systems solutions press,systems solutions press,0--692,2015,2015,1,221,221,104,104,16,16
3306,1,tenessee alumnus,tenessee alumnus,0--692,2017,2017,1,221,221,104,104,16,16
3386,1,train to be clutch,train to be clutch,0--692,2017,2017,1,221,221,104,104,16,16
3395,1,tremani publishing,tremani publishing,0--692,2016,2016,1,221,221,104,104,16,16
3452,1,unity press,unity press,0--692,2015,2015,1,221,221,104,104,16,16
3706,1,wisdom paws,wisdom paws,0--692,2018,2018,1,221,221,104,104,16,16
176,1,amphoto,amphoto,0--8174,1978,1978,1,641,641,105,105,772,733
177,1,amplify,amplify,1--64089,2018,2018,1,631,631,106,106,640,2042
180,1,amsterdam university press,amsterdam university press,90--8964,2016,2016,1,598,598,107,107,2110,2179
182,1,amy linnabary,amy linnabary,1--5237,2017,2017,1,301,301,108,108,485,386
1354,1,gemma halliday publishing,gemma halliday publishing,1--5237,2016,2016,1,301,301,108,108,485,386
183,1,anaheim pub co,anaheim pub co,0--88236,1979,1979,1,579,579,109,109,778,853
187,1,andersen press,andersen press,1--84939;0--86264;1--78344;1--84270,1996,2018,5,118,118,110,110,167,165
188,1,andersen press ltd,andersen press ltd,1--78344,2018,2018,1,118,118,110,110,167,165
189,1,andrew mcmeel publishing,andrew mcmeel publishing,1--4494,2018,2018,1,317,317,111,111,375,380
190,1,andrews mcmeel publishing,andrews mcmeel publishing,1--4494,2014,2018,3,317,317,111,111,375,380
192,1,angelic knight press,angelic knight press,1--941987,2015,2015,1,533,533,112,112,447,491
2802,1,ragnarok publications,ragnarok publications,1--941987,2015,2015,1,533,533,112,112,447,491
193,1,angelico press,angelico press,1--62138,2015,2015,1,2055,2055,113,113,675,2060
194,1,angry robot,angry robot,0--85766,2014,2017,2,2038,2038,114,114,1890,2006
197,1,ann arbor science publishers,ann arbor science publishers,0--250,1974,1974,1,2023,2023,115,115,697,854
198,1,ann charles,ann charles,1--940364,2016,2016,1,2012,2012,116,116,671,2180
199,1,ann m hess,ann m hess,1--4991,2014,2014,1,2008,2008,117,117,1853,2013
200,1,annick press,annick press,1--55451,2015,2015,1,1990,1990,118,118,2079,634
201,1,annick press ltd,annick press ltd,1--55037,2001,2001,1,1981,1981,119,119,1891,1363
202,1,anthem press,anthem press,0--85728;1--78308,2013,2016,4,530,530,120,120,486,375
203,1,anthroposophic press,anthroposophic press,0--88010,1984,1984,1,1966,1966,121,121,2021,701
204,1,antique collectors' club,antique collectors' club,1--85149,2003,2003,1,1952,1952,122,122,2186,1364
205,1,aorn,aorn,1--888460,2015,2015,1,1941,1941,123,123,2023,2217
206,1,aperture,aperture,1--59711,2017,2017,1,1931,1931,124,124,1963,692
207,1,applause theatre books,applause theatre books,1--55783,2000,2000,1,1916,1916,125,125,2022,798
210,1,appraisal institute,appraisal institute,1--935328,2013,2013,1,1864,1864,126,126,2046,2065
211,1,apress,apress,1--4302;1--4842;1--59059,2008,2019,19,138,138,127,127,214,214
1309,1,friends of ed,friends of ed,1--59059,2006,2006,1,138,138,127,127,214,214
212,1,april barker,april barker,0--9924032,2011,2011,1,1834,1834,128,128,698,830
213,1,arbor house,arbor house,0--87795,1985,1985,1,1831,1831,129,129,801,2127
214,1,arbordale publishing,arbordale publishing,1--60718,2018,2018,1,1818,1818,130,130,709,2007
216,1,arcade publishing,arcade publishing,1--62872,2017,2017,2,1797,1797,131,131,884,2158
218,1,arcadia books,arcadia books,1--900850,1998,1998,1,1770,1770,132,132,1812,718
220,1,archaeopress,archaeopress,1--4073;1--78491,2010,2015,7,58,58,133,133,173,181
221,1,archaeopress publishing ltd,archaeopress publishing ltd,1--78491,2016,2017,4,58,58,133,133,173,181
352,1,bar publishing,bar publishing,1--4073,2016,2018,2,58,58,133,133,173,181
543,1,british archaeological reports ltd,british archaeological reports ltd,1--4073,2015,2015,1,58,58,133,133,173,181
222,1,archie comic publications,archie comic publications,1--68255,2017,2017,1,373,373,134,134,380,613
223,1,archie comic publications inc,archie comic publications inc,1--68255,2018,2018,2,373,373,134,134,380,613
224,1,architectural association,architectural association,1--907896,2015,2015,1,1702,1702,135,135,1334,855
225,1,archon books,archon books,0--208,1968,1968,1,1697,1697,136,136,885,856
228,1,arcturus,arcturus,1--84837,2013,2013,1,1668,1668,137,137,886,2091
229,1,arcturus pub,arcturus pub,1--84858,2013,2013,1,1658,1658,138,138,887,2152
