"Publisher","ID","ISBN","group","walktrap","louvain","infomap"
"assouline",953054526,"1--61428",230,429,167,477
"assouline",907085220,"1--61428",230,429,167,477
"assouline",874773655,"2--84323",230,429,167,477
"aston publications",650233900,"0--946627",231,1461,168,1337
"astraea press llc",875273547,"1--62135",232,1454,169,1338
"at the university press",868673614,"1--107",233,12,374,29
"atd press",913576181,"1--60728",234,1442,170,1339
"athenaeum books for young readers",1027033246,"1--4814",235,17,1766,14
"atheneum",639901840,"0--689",236,17,1766,14
"atheneum",13731471,"0--689",236,17,1766,14
"atheneum",10158012,"0--689",236,17,1766,14
"atheneum books for young readers",717567226,"1--4424",237,17,1766,14
"atheneum books for young readers",699845921,"0--8335",237,17,1766,14
"atheneum books for young readers",537339518,"1--4169",237,17,1766,14
"atheneum books for young readers",1057609958,"1--4814",237,17,1766,14
"atlantic books",792684695,"0--85789",238,1381,171,1340
"atlantic council",949759075,"1--61977",239,1375,172,548
"atlantic monthly press",320622051,"0--87113",240,27,173,272
"atlantic monthly press",1056201993,"0--8021",240,27,173,272
"atlantic publishing group inc",862109577,"1--60138",241,1353,174,614
"atlantic publishing group inc",862731932,"1--60138",241,1353,174,614
"atria books",1022741732,"1--5011",242,26,324,3
"atria books",1023613296,"1--9821",242,26,324,3
"atria books",1023388493,"1--5011",242,26,324,3
"atria books",928481274,"1--5011",242,26,324,3
"atria books",1002695606,"1--5011",242,26,324,3
"atria books",961388285,"1--4767",242,26,324,3
"atria books",958826019,"1--4391",242,26,324,3
"atria books",133438022,"0--7432",242,26,324,3
"atria paperback",938233069,"1--4767",243,26,324,3
"atwords press",874759093,"0--9897773",244,1293,175,1341
"audio engineering society",1058925652,"1--5108",245,12,374,274
"audiocraft publishing",1042231198,"1--893699",246,1288,176,1342
"audiogo",1080244912,"1--4458",247,33,1084,524
"audiogo",809418490,"1--4458",247,33,1084,524
"audiogo ltd",743472577,"1--4458",248,33,1084,524
"augmented fifth",909098011,"0--9566452",249,1274,177,615
"australasian corrosion association",953052313,"1--63439",250,1280,178,616
"australian centre for international agricultural research aciar",870671729,"1--921962",251,1266,179,617
"australian institute of health and welfare",1065535819,"1--76054",252,1258,180,1343
"australian national audit office",907560284,"1--76033",253,1256,181,618
"australian national audit office",915327917,"1--76033",253,1256,181,618
"australian national university press",961195248,"1--76046",254,1240,182,1344
"authentic",1055637793,"1--85078",255,1231,183,619
"author solutions llc",1089253729,"1--9845",256,1226,184,620
"authorhouse",951221023,"1--4918",257,187,185,142
"authorhouse",1034760635,"1--4772",257,187,185,142
"authorhouse",63901635,"1--4259",257,187,185,142
"authorhouse",854613675,"1--4772",257,187,185,142
"authorhouse",846786689,"1--4817",257,187,185,142
"authorhouse",870414616,"1--4772",257,187,185,142
"av by weigl",959029734,"1--4896",267,15,676,189
"av by weigl",893448147,"1--4896",267,15,676,189
"av by weigl",890418268,"1--4896",267,15,676,189
"av by weigl",914085285,"1--4896",267,15,676,189
"av by weigl",891398363,"1--4896",267,15,676,189
"av2 by weigl",880941833,"1--62127",258,15,676,189
"av2 by weigl",890418271,"1--4896",258,15,676,189
"av2 by weigl",914217859,"1--4896",258,15,676,189
"av2 by weigl",914085088,"1--4896",258,15,676,189
"av2 by weigl",959970631,"1--4896",258,15,676,189
"av2 by weigl",871228449,"1--4896",258,15,676,189
"av2 by weigl",828774770,"1--62127",258,15,676,189
"av2 by weigl",890674776,"1--4896",258,15,676,189
"avalon travel",879548287,"1--61238",259,54,914,66
"avalon travel",937817953,"1--59880",259,54,914,66
"avalon travel",229024148,"1--59880",259,54,914,66
"avery color studios",33319210,"0--932212",260,1171,186,1345
"avery color studios inc",857287161,"1--892384",261,1163,187,621
"aviation supplies and academics",48364835,"1--56027",262,1155,188,622
"aviation supplies and academics inc",960884856,"1--61954",263,1152,189,1346
"avon",2473759,"0--380",264,17,711,67
"avon",18111380,"0--606",264,17,711,67
"avon",12727973,"0--380",264,17,711,67
"avon",183211533,"0--380",264,17,711,67
