Country_code,Publisher_code,Publisher
0,534,Wadsworth; Brooks/Cole
0,536,Simon & Schuster Custom Publishing; Pearson Custom Publishing
0,538,South-Western Publishing
0,540,George Philip
0,542,UMI Press
0,543,Adamant
0,544,Houghton Mifflin Harcourt
0,545,Scholastic
0,547,Houghton Mifflin Company
0,548,Kessinger
0,550,W. & R. Chambers
0,551,Marshalls; Marshall Pickering
0,552,Corgi
0,553,Bantam Books
0,554,Bastion Books
0,559,Bibliolife
0,560,E. J. Arnold; Arnold-Wheaton
0,562,Sampson Low
0,563,BBC Publications
0,564,British and Foreign Bible Society
0,565,British Museum
0,566,Gower Publishing
0,567,T. & T. Clark
0,569,Collets
0,570,Concordia Publishing House
0,571,Faber and Faber; Faber Music
0,572,Foulsham
0,573,Samuel French
0,574,Science Research Associates
0,575,Gollancz Guild Publishing
0,576,Gregg International
0,580,British Standards Institution
0,582,Longman
0,583,"William Collins, HarperCollins"
0,584,Frederick Muller
0,586,Panther Books
0,589,Reed Publishing
0,590,Scholastic
0,592,Iliffe
0,593,Bantam Books
0,594,The Weinstein Company
0,595,Authors Choice Press; Writers Club Press
0,596,O'Reilly
0,600,Hamlyn
0,601,Hamlyn
0,602,Ginn
0,607,US Geological Survey
0,608,UMI Books on Demand
0,609,Crown Publishing Group
0,610,Kelly's Directories
0,611,Reed Information Services
0,612,UMI
0,614,American Concrete Institute
0,615,(Numerous small presses)
0,617,IPC Business Press
0,618,Houghton Mifflin
0,619,Course Technology
0,620,(various South African imprints)
0,621,(South Africa Government Printer)
0,624,Tafelberg
0,627,J. L. van Schaik
0,631,Basil Blackwell
0,632,Blackwell Scientific
0,634,Hal Leonard Corporation
0,636,Maskew Miller Longman
0,642,Australian Government Publishing Service
0,643,Commonwealth Scientific and Industrial Research Organisation (CSIRO)
0,644,Australian Government Publishing Service
0,646,(various Australian organizations)
0,658,NTC Publishing Group; NTC/Contemporary Publishing Group; National Textbook Company
0,660,Supply and Services Canada
0,662,Supply and Services Canada
0,664,Westminster Press
0,665,Canadian Institute for Historical Microreproductions
0,667,Microfilming Corporation of America
0,668,Arco Publishing
0,669,Lexington Books
0,670,Viking Press
0,671,Simon & Schuster
0,672,SAMS Publishing
0,673,"Scott, Foresman"
0,674,Harvard University Press
0,675,Charles E. Merrill
0,676,Vintage Canada
0,677,Gordon and Breach
0,678,Augustus M. Kelly
0,679,Random House; Alfred A. Knopf
0,681,Longmeadow Press
0,682,Exposition Press
0,683,Williams and Wilkins
0,684,Scribners
0,685,UMI Books on Demand
0,687,Abingdon Press
0,688,William Morrow and Company
0,689,Simon & Schuster
0,690,Thomas Y. Crowell
0,691,Princeton University Press
0,692,Pebblebrook Press
0,694,HarperCollins
0,695,Association Press
0,696,Meredith Books
0,697,Wm C. Brown
0,698,"Coward, McCann & Geoghegan"
0,7000,J. & A. Churchill
0,7002,Intertext Books
0,7003,British Railways Board
0,7004,Olympia Press
0,7005,National Foundation for Educational Research
0,7006,University Press of Kansas
0,7007,Curzon Press
0,7010,Chatto & Windus Educational; Hart-Davis Educational
0,7011,Chatto & Windus
0,7012,Hogarth Press
0,7016,Jacaranda Press
0,7017,University of Newcastle (UK)
0,7020,"Baillière, Tindall"
0,7021,Juta and Co. (South Africa)
0,7022,University of Queensland Press
0,7025,Bharatiya Vidya Bhavan (India)
0,7028,Bartholomew
0,7043,Quartet
0,7044,Birmingham University (UK)
0,7045,Wildwood House
0,7049,University of Reading; Whiteknights Press
0,7051,Mitre Press
0,7054,Time-Life International
0,7055,Victoria University Press
0,7057,Elmfield Press
0,7058,Atomic Energy Research Establishment (AERE)
0,7061,Oak Tree Press
0,7062,Ward Lock Educational
0,7063,Ward Lock
0,7064,Octopus Books
0,7065,Israel Program for Scientific Translations
0,7067,Davis-Poynter
0,7068,Sceptre Press
