"";"x"
"591";2989
"592";2984
"593";2973
"594";404
"595";505
"596";505
"597";505
"598";505
"599";404
"600";505
"601";505
"602";101
"603";101
"604";2851
"605";2840
"606";2828
"607";367
"608";367
"609";2804
"610";2800
"611";295
"612";28
"613";2774
"614";414
"615";414
"616";414
"617";511
"618";3
"619";2740
"620";984
"621";2727
"622";113
"623";266
"624";2701
"625";280
"626";280
"627";561
"628";162
"629";4477
"630";2638
"631";796
"632";2620
"633";2615
"634";211
"635";211
"636";2598
"637";2586
"638";2583
"639";2575
"640";482
"641";485
"642";2549
"643";4717
"644";7
"645";2508
"646";3
"647";122
"648";388
"649";4844
"650";2458
"651";2452
"652";781
"653";7
"654";1171
"655";1153
"656";7
"657";2392
"658";114
"659";2382
"660";2365
"661";770
"662";770
"663";2348
"664";2347
"665";3
"666";2331
"667";3
"668";674
"669";2320
"670";2313
"671";556
"672";28
"673";28
"674";28
"675";28
"676";28
"677";28
"678";7
"679";2210
"680";577
"681";577
"682";170
"683";3
"684";24
"685";2187
"686";2180
"687";749
"688";1178
"689";690
"690";43
"691";2158
"692";2153
"693";2145
"694";1021
"695";2135
"696";2134
"697";2129
"698";207
"699";207
"700";509
"701";2092
"702";2084
"703";418
"704";245
"705";2074
"706";7
"707";509
"708";2041
"709";2036
"710";1027
"711";1027
"712";983
"713";2021
"714";2007
"715";1999
"716";1995
"717";479
"718";1988
"719";1986
"720";1990
"721";245
"722";245
"723";1972
"724";99
"725";180
"726";53
"727";1960
"728";693
"729";1939
"730";1936
"731";464
"732";516
"733";516
"734";516
"735";516
"736";516
"737";516
"738";31
"739";31
"740";318
"741";318
"742";1866
"743";1854
"744";29
"745";76
"746";76
"747";76
"748";180
"749";76
"750";76
"751";76
"752";76
"753";528
"754";3
"755";1757
"756";1751
"757";1742
"758";1748
"759";1730
"760";63
"761";1722
"762";167
"763";1709
"764";1707
"765";659
"766";1701
"767";788
"768";1686
"769";788
"770";251
"771";251
"772";251
"773";7
"774";883
"775";1640
"776";1638
"777";1628
"778";1622
"779";1264
"780";1166
"781";1605
"782";7
"783";264
"784";3
"785";264
"786";264
"787";50
"788";50
"789";50
"790";1495
"791";1489
"792";1487
"793";7
"794";1485
"795";103
"796";3
"797";103
"798";103
"799";1458
"800";1320
"801";1320
"802";1466
"803";857
"804";857
"805";1417
"806";852
"807";7
"808";7
"809";1370
"810";631
"811";631
"812";631
"813";716
"814";115
"815";7
"816";7
"817";7
"818";4959
"819";593
"820";4954
"821";4952
"822";374
"823";4929
"824";3
"825";374
"826";4898
"827";4893
"828";4911
"829";4883
"830";163
"831";163
"832";163
"833";7
"834";466
"835";1190
"836";1191
"837";552
