cluster_id,isbn,record,type
232,0--692,1,1
233,1--907804,1,1
234,0--9779910,1,1
235,987--646,1,1
236,1--5089,1,1
237,0--692,2,1
238,0--9864114,1,1
239,0--9578052,1,1
240,0--9849552,1,1
241,1--5425,1,1
242,1--5141,1,1
243,1--5078,1,1
244,1--5117,1,1
244,1--4827,1,1
245,1--5197,1,1
246,1--57090,1,1
247,0--9861794,3,1
248,1--5016,1,1
249,1--941999,1,1
250,0--385,1,1
250,0--553,1,1
250,1--101,1,1
250,0--394,1,1
250,0--375,1,1
250,0--307,1,1
250,1--322,1,1
250,0--517,1,1
250,0--679,1,1
251,0--345,1,1
252,0--9961205,1,1
253,1--5191,1,1
254,1--4706,3,1
254,1--4574,1,1
255,1--61620,8,1
256,1--56512,1,1
256,1--61620,3,1
257,1--61620,4,1
258,1--62894,13,1
259,0--8041,1,1
259,1--101,4,1
260,0--9967088,1,1
261,1--5169,1,1
262,1--935770,1,1
263,1--938584,3,1
264,0--9934905,2,1
265,1--5171,1,1
266,0--9931451,3,1
267,0--7490,1,1
268,1--4071,6,1
269,1--5233,1,1
270,1--5174,1,1
271,0--692,2,1
272,0--9757536,1,1
273,1--74331,2,1
273,1--76011,3,1
273,1--925266,2,1
273,1--74336,1,1
274,0--241,4,1
274,0--8129,1,1
274,0--7139,1,1
274,1--84614,6,1
274,0--14,3,1
275,0--545,2,1
276,0--7490,28,1
277,0--7490,8,1
278,1--62153,7,1
279,1--84688,1,1
280,1--84749,2,1
281,1--910454,1,1
282,1--910454,2,1
283,1--61206,1,1
284,1--61564,22,1
285,1--61564,1,1
286,1--61564,1,1
287,1--61564,1,1
288,1--61564,1,1
289,1--61564,1,1
290,1--4654,1,1
291,1--61564,1,1
292,1--84265,33,1
293,1--84265,31,1
294,1--78332,11,1
294,1--84265,26,1
295,1--84265,1,1
296,1--882483,1,1
297,0--7591,1,1
298,607--96978,1,1
299,1--934985,2,1
300,1--934460,4,1
301,1--62315,2,1
302,1--5197,1,1
303,1--61827,2,1
304,1--5117,1,1
305,1--5194,1,1
306,0--9935280,1,1
307,0--578,1,1
308,0--9962780,1,1
309,0--8144,23,1
310,0--8144,1,1
