id,length,text,publisher_pro,isbn_new,year_min,year_max,record
80,1,abilene christian university press,abilene christian university press,0--89112,2015,2015,4.0
81,1,abingdon press,abingdon press,1--5018;1--4267;1--63088,2015,2015,11.0
82,1,abison publishers,abison publishers,0--9555435,2015,2015,1.0
83,1,about face press,about face press,0--9862550,2015,2015,1.0
84,1,abq press,abq press,0--9966214,2015,2015,2.0
85,1,abra palabra editores,abra palabra editores,958--59185,2015,2015,1.0
86,1,abrams,abrams,1--61769;1--68335;0--692;1--4197;1--61312,2015,2015,33.0
87,1,abrams appleseed,abrams appleseed,1--68335;1--4197,2015,2015,6.0
88,1,abrams books for young readers,abrams books for young readers,1--4197,2015,2015,9.0
89,1,abrams comicarts,abrams comicarts,1--4197,2015,2015,1.0
90,1,abrams fine arts press,abrams fine arts press,1--937727,2015,2015,1.0
91,1,abrams image,abrams image,1--4197;1--61312,2015,2015,7.0
92,1,abstract studio inc,abstract studio inc,1--892597,2015,2015,1.0
93,1,abundant life llc,abundant life llc,1--5089,2015,2015,1.0
94,1,abz press,abz press,0--9801560,2015,2015,1.0
95,1,ac books,ac books,1--939901,2015,2015,1.0
96,1,aca galleries,aca galleries,0--692,2015,2015,2.0
97,1,aca publishing limited,aca publishing limited,0--9927625,2015,2015,1.0
98,1,aca publishing ltd,aca publishing ltd,1--910760,2015,2015,4.0
99,1,academic conferences and publishing international limited,academic conferences and publishing international limited,1--910810,2015,2015,1.0
100,1,academic play llc,academic play llc,0--9962613,2015,2015,1.0
101,1,academic press,academic press,1--4795;0--08;0--12;1--4914;0--444;0--316,2015,2015,358.0
102,1,academic press ap academic press,academic press ap academic press,0--12,2015,2015,3.0
103,1,academic press elsevier,academic press elsevier,0--12,2015,2015,9.0
104,1,academic press in,academic press in,0--12,2015,2015,1.0
105,1,academic studies,academic studies,1--61811,2015,2015,1.0
106,1,academic studies press,academic studies press,1--61811,2015,2015,21.0
107,1,academy chicago,academy chicago,0--89733,2015,2015,2.0
108,1,academy chicago publishers,academy chicago publishers,0--89733;1--61373,2015,2015,7.0
109,1,academy of nutrition and dietetics,academy of nutrition and dietetics,0--88091,2015,2015,2.0
110,1,academy of the four directions,academy of the four directions,0--692,2015,2015,1.0
111,1,acadia,acadia,0--692,2015,2015,1.0
