"";"x"
"586";762
"587";762
"588";1
"589";126
"590";1
"591";4947
"592";3135
"593";3134
"594";127
"595";127
"596";127
"597";127
"598";127
"599";127
"600";127
"601";127
"602";232
"603";232
"604";4946
"605";4945
"606";3133
"607";613
"608";613
"609";3132
"610";4944
"611";538
"612";6
"613";4943
"614";748
"615";748
"616";748
"617";304
"618";1
"619";4942
"620";769
"621";3131
"622";313
"623";524
"624";4941
"625";250
"626";250
"627";447
"628";247
"629";3130
"630";4940
"631";1317
"632";3129
"633";3128
"634";223
"635";223
"636";4939
"637";4938
"638";4937
"639";3127
"640";123
"641";141
"642";4936
"643";3126
"644";137
"645";3125
"646";1
"647";95
"648";284
"649";4935
"650";3124
"651";3123
"652";767
"653";157
"654";1082
"655";1081
"656";114
"657";3122
"658";13
"659";4934
"660";3121
"661";1080
"662";1080
"663";3120
"664";3119
"665";1
"666";3118
"667";1
"668";684
"669";4933
"670";3117
"671";440
"672";92
"673";92
"674";92
"675";92
"676";92
"677";92
"678";5051
"679";4932
"680";444
"681";444
"682";280
"683";1
"684";200
"685";4931
"686";3116
"687";1328
"688";765
"689";683
"690";90
"691";4930
"692";4929
"693";4928
"694";768
"695";4927
"696";3115
"697";4926
"698";138
"699";138
"700";306
"701";3114
"702";4925
"703";1369
"704";503
"705";3113
"706";122
"707";306
"708";4924
"709";4923
"710";1357
"711";1357
"712";1314
"713";3112
"714";4922
"715";4921
"716";3111
"717";94
"718";3110
"719";4920
"720";3109
"721";503
"722";503
"723";3108
"724";118
"725";40
"726";5
"727";3107
"728";682
"729";4919
"730";4918
"731";516
"732";303
"733";303
"734";303
"735";303
"736";303
"737";303
"738";178
"739";178
"740";611
"741";611
"742";3106
"743";3105
"744";150
"745";8
"746";8
"747";8
"748";40
"749";8
"750";8
"751";8
"752";8
"753";337
"754";1
"755";4917
"756";4916
"757";4915
"758";3104
"759";3103
"760";111
"761";4914
"762";267
"763";3102
"764";4913
"765";696
"766";4912
"767";1340
"768";3101
"769";1340
"770";466
"771";466
"772";466
"773";103
"774";1355
"775";3100
"776";3099
"777";4911
"778";4910
"779";1353
"780";1079
"781";4909
"782";174
"783";186
"784";1
"785";186
"786";186
"787";4
"788";4
"789";4
"790";3098
"791";3097
"792";3096
"793";130
"794";4908
"795";208
"796";1
"797";208
"798";208
"799";4907
"800";742
"801";742
"802";4906
"803";1078
"804";1078
"805";4905
"806";1335
"807";2
"808";2
"809";3095
"810";681
"811";681
"812";681
"813";680
"814";32
"815";52
"816";10
"817";10
"818";3094
"819";161
"820";3093
"821";4904
"822";61
"823";3092
"824";1
"825";61
"826";4903
"827";3091
"828";4902
"829";4901
"830";163
"831";163
"832";163
"833";3
"834";15
"835";1358
"836";1339
"837";439
"838";29
"839";1330
"840";4900
"841";4899
"842";1330
"843";3090
"844";465
"845";465
"846";35
"847";35
"848";35
"849";4898
"850";187
"851";141
"852";3089
"853";8
"854";8
"855";8
"856";447
"857";479
"858";479
"859";479
"860";610
"861";610
"862";3088
"863";3087
"864";3
"865";3
"866";51
"867";3086
"868";4897
"869";10
"870";75
"871";389
"872";704
"873";3085
"874";4896
"875";1308
"876";4895
"877";4894
"878";163
"879";163
"880";163
"881";3084
"882";4893
"883";4892
"884";4891
"885";1077
"886";4890
"887";4889
"888";3
"889";3
"890";3
"891";3
"892";117
"893";3083
"894";100
"895";3082
"896";3081
"897";36
"898";198
"899";198
"900";198
"901";4888
"902";1364
"903";1307
"904";679
"905";4887
"906";4886
"907";4885
"908";4884
"909";254
"910";134
"911";134
"912";4883
"913";3080
"914";1076
"915";296
"916";296
"917";296
"918";296
"919";296
"920";4882
"921";4881
"922";193
"923";268
"924";268
"925";268
"926";268
"927";1
"928";3079
"929";4880
"930";3078
"931";4879
"932";84
"933";3077
"934";116
"935";5055
"936";4878
"937";3076
"938";1306
"939";1349
"940";678
"941";678
"942";678
"943";40
"944";3075
"945";3074
"946";1313
"947";1075
"948";3073
"949";4877
"950";3072
"951";1074
"952";1074
"953";4876
"954";4875
"955";1073
"956";1073
"957";4874
"958";1
"959";131
"960";1072
"961";1072
"962";1312
"963";1312
"964";4873
"965";27
"966";27
"967";4872
"968";3071
"969";3070
"970";1
"971";1071
"972";1071
"973";15
"974";154
"975";154
"976";464
"977";1070
"978";1070
"979";33
"980";3069
"981";4871
"982";464
"983";1305
"984";1
"985";26
"986";26
"987";4870
"988";140
"989";1304
"990";3068
"991";169
"992";4869
"993";609
"994";609
"995";3067
"996";368
"997";368
"998";368
"999";677
"1000";677
"1001";4868
"1002";3066
"1003";355
"1004";3065
"1005";3064
"1006";3063
"1007";3062
"1008";169
"1009";286
"1010";5057
"1011";568
"1012";568
"1013";247
"1014";75
"1015";3061
"1016";75
"1017";2
"1018";75
"1019";50
"1020";75
"1021";75
"1022";75
"1023";75
"1024";3060
"1025";4867
"1026";3059
"1027";3058
"1028";1069
"1029";283
"1030";283
"1031";283
"1032";283
"1033";283
"1034";3057
"1035";3056
"1036";3055
"1037";68
"1038";3054
"1039";3053
"1040";366
"1041";366
"1042";1068
"1043";269
"1044";4866
"1045";4865
"1046";56
"1047";27
"1048";27
"1049";19
"1050";4864
"1051";4863
"1052";1
"1053";3052
"1054";4862
"1055";3051
"1056";4861
"1057";4860
"1058";4859
"1059";4858
"1060";5041
"1061";746
"1062";746
"1063";1
"1064";4857
"1065";278
"1066";278
"1067";38
"1068";1380
"1069";3050
"1070";1382
"1071";3049
"1072";4856
"1073";4855
"1074";4854
"1075";3048
"1076";160
"1077";3047
"1078";3046
"1079";391
"1080";1
"1081";122
"1082";1336
"1083";1320
"1084";4853
"1085";1067
"1086";101
"1087";1067
"1088";101
"1089";519
"1090";519
"1091";519
"1092";115
"1093";3045
"1094";502
"1095";502
"1096";4852
"1097";3044
"1098";1066
"1099";4851
"1100";45
"1101";45
"1102";1065
"1103";35
"1104";4
"1105";3043
"1106";608
"1107";608
"1108";284
"1109";284
"1110";284
"1111";284
"1112";3042
"1113";1
"1114";1
"1115";3041
"1116";3040
"1117";4850
"1118";567
"1119";567
"1120";1064
"1121";1064
"1122";25
"1123";3039
"1124";1
"1125";29
"1126";468
"1127";4849
"1128";3038
"1129";695
"1130";3037
"1131";3036
"1132";15
"1133";1303
"1134";414
"1135";117
"1136";1
"1137";1063
"1138";3035
"1139";3034
"1140";4848
"1141";4847
"1142";4846
"1143";93
"1144";4845
"1145";1
"1146";1133
"1147";4844
"1148";277
"1149";4
"1150";3033
"1151";4843
"1152";4842
"1153";79
"1154";1062
"1155";1329
"1156";10
"1157";1329
"1158";390
"1159";156
"1160";3032
"1161";273
"1162";273
"1163";68
"1164";3031
"1165";4841
"1166";140
"1167";131
"1168";4840
"1169";3030
"1170";1302
"1171";108
"1172";5
"1173";5
"1174";5
"1175";49
"1176";5
"1177";5
"1178";5
"1179";5
"1180";5
"1181";5
"1182";4839
"1183";5
"1184";5
"1185";5
"1186";5
"1187";5
"1188";3029
"1189";5
"1190";5
"1191";5
