cluster_id,isbn,record,type
212,0--668,1,1
213,1--62872,2,1
214,0--7385,2,1
215,1--900850,1,1
216,1--4671,3,1
216,0--7385,1,1
217,1--4073,6,1
217,1--78491,5,1
218,1--78491,4,1
219,1--68255,3,1
220,1--68255,2,1
221,1--907896,1,1
222,0--208,1,1
223,1--4814,1,1
224,0--668,1,1
225,1--84837,1,1
226,1--84858,1,1
227,0--89804,1,1
228,1--908343,1,1
229,0--86698,1,1
229,2--503,1,1
230,0--916179,1,1
231,0--7100,1,1
231,1--85063,1,1
231,0--14,3,1
232,1--85132,1,1
233,0--87000,1,1
234,1--86147,1,1
234,1--84322,1,1
235,1--85409,1,1
236,0--405,14,1
237,0--405,1,1
238,0--405,12,1
238,87--85176,1,1
239,0--340,1,1
239,0--7131,8,1
240,0--09,6,1
240,0--7493,1,1
241,0--09,5,1
242,0--7347,1,1
242,1--85514,1,1
243,1--5185,1,1
244,1--63081,1,1
244,1--60807,2,1
245,0--545,1,1
245,1--338,1,1
246,1--908967,1,1
247,0--9835723,1,1
248,0--87846,1,1
249,1--4166,3,1
250,1--63530,1,1
251,1--351,3,1
251,0--7546,7,1
251,1--306,3,1
251,1--85972,1,1
251,1--4094,16,1
251,1--317,1,1
251,1--315,3,1
251,1--4724,26,1
251,1--322,1,1
252,1--4094,1,1
252,1--351,1,1
252,1--4724,1,1
252,0--7546,1,1
253,1--4094,1,1
253,1--306,1,1
253,1--4724,2,1
254,1--4724,2,1
255,0--86078,1,1
256,1--85398,1,1
257,0--87848,1,1
258,1--888582,1,1
259,0--87170,1,1
260,1--55581,3,1
261,0--446,1,1
262,0--7355,3,1
263,0--89443,1,1
264,0--87389,2,1
265,0--926508,1,1
266,0--89871,1,1
266,1--4503,1,1
267,0--317,1,1
268,1--5238,1,1
269,1--59407,1,1
270,1--68221,1,1
271,0--9645867,1,1
272,0--6481864,1,1
273,1--56286,1,1
274,1--886529,1,1
275,0--689,4,1
276,1--4424,2,1
276,1--4169,1,1
277,1--78239,2,1
278,1--61977,1,1
279,0--8021,3,1
279,0--87113,1,1
280,0--7434,1,1
281,1--4767,1,1
282,1--5011,2,1
283,1--5011,1,1
283,1--58270,1,1
284,0--9978974,1,1
285,0--9778023,1,1
286,1--4713,2,1
287,1--4084,1,1
287,1--4713,1,1
288,0--914904,1,1
289,1--78455,1,1
290,1--74249,4,1
291,1--76033,2,1
292,1--85078,1,1
293,1--4196,1,1
294,1--5049,1,1
294,1--4918,2,1
294,1--4969,1,1
294,1--4772,1,1
294,1--4490,2,1
295,0--595,1,1
295,1--4401,1,1
296,0--7495,1,1
297,1--57027,1,1
298,0--85147,1,1
299,1--873796,1,1
300,1--4896,2,1
301,1--62127,1,1
301,1--4896,2,1
302,1--63121,1,1
303,1--61238,1,1
304,1--59471,1,1
305,0--525,1,1
306,0--87055,2,1
307,0--87055,1,1
308,1--56027,1,1
309,1--61954,1,1
310,0--9841497,1,1
311,0--380,25,1
311,0--06,6,1
311,0--00,2,1
311,1--4201,1,1
312,0--380,18,1
312,0--671,1,1
312,0--06,5,1
312,1--4169,1,1
313,0--9897782,1,1
314,0--8054,1,1
315,0--631,6,1
316,0--578,1,1
317,3--7618,1,1
318,1--63339,1,1
319,1--5419,1,1
320,0--316,4,1
321,0--316,3,1
322,1--4950,1,1
323,0--7607,2,1
324,1--4516,1,1
324,0--671,3,1
325,0--671,1,1
326,0--7020,1,1
327,0--912841,1,1
328,1--891696,1,1
329,0--8010,2,1
330,0--310,1,1
330,0--8010,4,1
331,0--8010,4,1
332,1--4525,1,1
333,0--345,40,1
333,0--449,11,1
334,1--68324,1,1
334,0--345,34,1
334,0--8041,1,1
334,1--299,1,1
334,0--613,1,1
334,0--449,6,1
334,0--399,1,1
334,1--101,3,1
334,0--356,1,1
334,0--7434,1,1
334,0--00,1,1
335,0--345,1,1
336,0--345,2,1
336,0--449,1,1
337,0--88410,1,1
338,0--06,2,1
339,1--59409,1,1
340,0--934411,1,1
341,0--8213,1,1
342,0--7181,1,1
342,0--689,1,1
342,0--7704,1,1
342,0--553,52,1
342,3--453,1,1
342,1--4424,1,1
343,1--4517,1,1
343,0--553,40,1
343,0--8041,2,1
343,1--299,1,1
343,0--15,1,1
343,0--13,1,1
343,0--87720,1,1
343,1--4176,1,1
343,0--440,1,1
344,0--553,1,1
345,0--440,2,1
346,0--385,1,1
347,0--7807,1,1
348,1--4073,2,1
349,1--5328,1,1
350,0--9621603,1,1
351,1--61626,1,1
352,1--68322,1,1
353,1--62836,1,1
354,1--4232,1,1
354,1--57222,1,1
355,0--380,1,1
356,1--84686,4,1
357,1--84686,3,1
357,1--84148,2,1
357,1--78285,1,1
358,0--918588,1,1
359,1--4954,1,1
360,0--7607,5,1
360,1--4351,3,1
360,0--06,3,1
360,0--88029,3,1
360,1--56619,4,1
361,0--88029,2,1
361,0--7607,4,1
361,0--06,1,1
361,1--56619,1,1
362,1--56619,1,1
363,0--257,1,1
364,1--78112,3,1
365,1--78112,1,1
366,0--8120,1,1
367,1--78402,1,1
368,1--905989,1,1
369,0--465,6,1
369,1--5416,1,1
370,0--7867,1,1
371,0--7134,1,1
372,1--58026,1,1
373,1--4084,2,1
373,1--59722,1,1
373,1--4056,9,1
373,0--7862,1,1
374,1--78594,1,1
374,1--84990,2,1
375,1--78017,1,1
376,0--8341,2,1
