cluster_id,isbn,record,type
246,1--306,3,1
246,1--4094,16,1
246,1--4724,26,1
246,0--7546,7,1
246,1--322,1,1
246,1--85972,1,1
246,1--317,1,1
246,1--351,3,1
247,1--4724,1,1
247,0--7546,1,1
247,1--351,1,1
248,1--4094,1,1
248,1--306,1,1
248,1--4724,2,1
249,1--4724,2,1
250,1--4094,1,1
251,0--86078,1,1
252,1--85398,1,1
253,0--87848,1,1
254,1--888582,1,1
255,0--87170,1,1
256,1--55581,3,1
257,0--446,1,1
258,0--7355,3,1
259,0--89443,1,1
260,0--87389,2,1
261,0--926508,1,1
262,1--4503,1,1
262,0--89871,1,1
263,0--317,1,1
264,1--5238,1,1
265,1--59407,1,1
266,1--68221,1,1
267,0--9645867,1,1
268,0--6481864,1,1
269,1--56286,1,1
270,1--886529,1,1
271,0--689,4,1
272,1--4169,1,1
272,1--4424,2,1
273,1--78239,1,1
274,1--61977,1,1
275,0--8021,3,1
275,0--87113,1,1
276,0--7434,1,1
277,1--4767,1,1
278,1--5011,1,1
279,1--58270,1,1
279,1--5011,1,1
280,0--9978974,1,1
281,0--9778023,1,1
282,1--4713,2,1
283,1--4713,1,1
283,1--4084,1,1
284,0--914904,1,1
285,1--78455,1,1
286,1--74249,4,1
287,1--76033,2,1
288,1--85078,1,1
289,1--4196,1,1
290,1--4969,1,1
290,1--5049,1,1
290,1--4490,2,1
290,1--4772,1,1
290,1--4918,2,1
291,1--4401,1,1
291,0--595,1,1
292,0--7495,1,1
293,1--57027,1,1
294,0--85147,1,1
295,1--873796,1,1
296,1--4896,2,1
297,1--62127,1,1
297,1--4896,2,1
298,1--63121,1,1
299,1--61238,1,1
300,1--59471,1,1
301,0--87055,2,1
302,0--87055,1,1
303,1--56027,1,1
304,1--61954,1,1
305,0--9841497,1,1
306,0--380,25,1
306,0--06,4,1
306,0--00,2,1
306,1--4201,1,1
307,0--380,18,1
307,0--06,3,1
307,1--4169,1,1
307,0--671,1,1
308,0--9897782,1,1
309,0--8054,1,1
310,0--631,5,1
311,0--578,1,1
312,3--7618,1,1
313,1--63339,1,1
314,1--5419,1,1
315,0--316,4,1
316,0--316,3,1
317,0--7607,2,1
318,1--4516,1,1
318,0--671,3,1
319,0--671,1,1
320,0--7020,1,1
321,0--912841,1,1
322,1--891696,1,1
323,0--8010,2,1
324,0--310,1,1
324,0--8010,4,1
325,0--8010,4,1
326,1--4525,1,1
327,0--345,39,1
327,0--449,11,1
328,0--7434,1,1
328,1--101,3,1
328,0--399,1,1
328,0--356,1,1
328,0--613,1,1
328,0--449,6,1
328,1--68324,1,1
328,0--8041,1,1
328,1--299,1,1
328,0--345,33,1
328,0--00,1,1
329,0--345,1,1
330,0--345,2,1
330,0--449,1,1
331,0--88410,1,1
332,0--06,1,1
333,1--59409,1,1
334,0--934411,1,1
335,0--8213,1,1
336,0--7181,1,1
336,0--689,1,1
336,0--7704,1,1
336,1--4424,1,1
336,0--553,52,1
336,3--453,1,1
337,1--4517,1,1
337,1--4176,1,1
337,0--15,1,1
337,0--13,1,1
337,0--8041,2,1
337,0--553,40,1
337,0--440,1,1
337,0--87720,1,1
337,1--299,1,1
338,0--553,1,1
339,0--440,2,1
340,0--385,1,1
341,0--7807,1,1
342,1--4073,2,1
343,1--5328,1,1
344,0--9621603,1,1
345,1--61626,1,1
346,1--68322,1,1
347,1--4232,1,1
347,1--57222,1,1
348,0--380,1,1
349,1--84686,4,1
350,1--78285,1,1
350,1--84148,2,1
350,1--84686,3,1
351,0--918588,1,1
352,1--4954,1,1
353,0--06,3,1
353,0--7607,5,1
353,1--4351,3,1
353,0--88029,3,1
353,1--56619,4,1
354,0--06,1,1
354,0--7607,4,1
354,0--88029,2,1
354,1--56619,1,1
355,1--56619,1,1
356,0--257,1,1
357,1--78112,3,1
358,1--78112,1,1
359,0--8120,1,1
360,1--78402,1,1
361,1--905989,1,1
362,0--465,6,1
362,1--5416,1,1
363,0--7867,1,1
364,0--631,1,1
365,0--7134,1,1
366,1--58026,1,1
367,1--4084,2,1
367,1--59722,1,1
367,1--4056,9,1
367,0--7862,1,1
368,1--84990,2,1
368,1--78594,1,1
369,1--78017,1,1
370,0--8341,2,1
371,0--8070,8,1
372,1--68402,1,1
372,1--64280,1,1
373,1--5004,1,1
374,0--8253,1,1
375,1--4576,3,1
375,1--319,1,1
376,1--57490,1,1
377,0--394,2,1
378,0--674,7,1
379,1--9761,1,1
380,0--531,3,1
380,1--62617,6,1
381,1--948742,1,1
382,1--4108,2,1
382,1--4509,1,1
382,1--60437,1,1
382,1--61672,1,1
383,0--9960803,1,1
384,0--9658028,1,1
385,1--84520,1,1
385,0--907582,1,1
385,1--85973,1,1
386,1--84788,1,1
387,1--78238,1,1
388,1--306,1,1
388,1--78533,2,1
388,0--85745,2,1
