F001_a,leader_18,isbn_tag,F008_0710,F040_e,F260_is,F264_is,F26x_b_cleaned,F26x_b_cleaned_pro
954220502,a,0--312,1984,0,1,0,st. martin's press,st martin's press
903155837,i,1--62722,2014,1,0,1,american bar association,american bar association
1097610945,i,1--78738,2019,1,0,1,hurst and company,hurst and company
903963874,i,0--12 ;; 1--4832,1976,1,0,1,academic press,academic press
23946200,a,0--345,1991,0,1,0,ballantine books,ballantine books
1097112558,i,1--351,2018,1,0,1,routledge,routledge
23002362,a,1--56131,1990,0,1,0,new amsterdam,new amsterdam
492609114,i,0--8194,2002,0,1,0,spie,spie
1045711157,i,1--68415,2018,1,0,1,boom! box,boom box
899003157,i,1--4832,1978,1,0,1,academic press,academic press
635594216,i,0--665,1981,0,1,0,j.b. lippincott,j b lippincott
404236133,i,0--943990,1995,0,1,0,parenting press,parenting press
961516990,i,1--78217,2014,1,0,1,packt publishing ltd,packt publishing ltd
953710278,i,1--305,2016,1,0,1,cengage learning,cengage learning
16724672,a,0--553,1987,0,1,0,bantam books,bantam books
1034954000,i,0--8261,2017,1,0,1,springer publishing company,springer publishing company
844772391,i,1--4422,2013,1,0,1,center for strategic and international studies,center for strategic and international studies
12162864,a,0--517,1985,0,1,0,viking,viking
936090859,i,1--70020,2015,1,0,1,proquest,proquest
1076269160,i,0--429,2019,1,0,1,"crc press, taylor and francis group",crc press taylor and francis group
931604601,i,0--309,2015,1,0,1,transportation research board,transportation research board
911258552,i,1--84787,2015,1,0,1,sage,sage
897226336,i,981--4619,2015,0,1,0,world scientific,world scientific
829316683,a,0--14,1987,0,1,0,puffin books,puffin books
1035312094,i,1--108,2018,1,0,1,international african institute,international african institute
880837244,i,1--4522,2014,0,1,0,new delhi,new delhi
881853705,i,1--932663,2014,1,1,0,history compass,history compass
960978007,i,1--4738,2016,1,0,1,pen and sword transport,pen and sword transport
793510304,a,0--511,2003,0,1,0,cambridge university press,cambridge university press
4136573,i,0--442,1978,0,1,0,van nostrand reinhold co,van nostrand reinhold co
798650362,a,0--515,2011,0,1,0,penguin group,penguin group
47016562,a,0--7922,2001,0,1,0,national geographic society,national geographic society
