id,length,text,publisher_pro,isbn_new,year_min,year_max,record
90,1,ahima,ahima,1--58426,2019,2019,1.0
91,1,aicpa,aicpa,1--945498,2017,2017,1.0
92,1,aiha press,aiha press,0--932627,1997,1997,1.0
93,1,ak press,ak press,1--84935,2011,2015,3.0
94,1,akademie verlag,akademie verlag,3--11,2014,2014,1.0
95,1,akashic books,akashic books,1--61775,2015,2015,1.0
96,1,al anon family group headquarters,al anon family group headquarters,0--910034,1990,1990,1.0
97,1,ala editions,ala editions,0--8389,2013,2013,1.0
98,1,ala neal schuman,ala neal schuman,0--8389,2017,2017,1.0
99,1,aladdin,aladdin,0--689;1--4424;0--02;1--4814,1986,2018,8.0
100,1,aladdin books,aladdin books,0--689,1987,1987,2.0
101,1,aladdin paperbacks,aladdin paperbacks,0--689;0--7587;0--671;1--4169;1--4156;0--7857,1987,2008,6.0
102,1,alan sutton,alan sutton,0--7509;0--86299,1994,1994,1.0
103,1,alaska northwest books,alaska northwest books,0--88240,2014,2014,1.0
104,1,albert whitman and company,albert whitman and company,0--8075;1--4976,2015,2018,3.0
105,1,aldine,aldine,0--202,1979,1979,1.0
106,1,aldinetransaction,aldinetransaction,0--202,2008,2008,1.0
107,1,alfred pfingstl winter haven publishing,alfred pfingstl winter haven publishing,0--615,2008,2008,1.0
108,1,alfred publishing co,alfred publishing co,0--7390,2004,2004,1.0
109,1,alfred publishing co inc,alfred publishing co inc,1--4574,2016,2016,1.0
110,1,algonquin books of chapel hill,algonquin books of chapel hill,1--61620,2017,2017,1.0
111,1,algonquin young readers,algonquin young readers,1--61620,2015,2015,1.0
112,1,algora publishing,algora publishing,1--62894,2015,2015,1.0
113,1,all due respect books,all due respect books,1--5025,2014,2014,1.0
114,1,allen and unwin,allen and unwin,1--74331;0--04,1971,2013,5.0
115,1,allison and busby,allison and busby,0--7490,2019,2019,1.0
116,1,allyn and bacon,allyn and bacon,0--205,1985,1985,1.0
117,1,alpha books,alpha books,1--61564,2014,2014,1.0
118,1,alpha science international ltd,alpha science international ltd,1--78332,2016,2019,2.0
119,1,altamira press,altamira press,1--4422;0--7591,2005,2005,2.0
120,1,alyson publications inc,alyson publications inc,1--55583,1991,1991,1.0
121,1,alyson wonderland,alyson wonderland,1--55583,1991,1991,1.0
122,1,amacom,amacom,0--8144,1981,2005,2.0
123,1,amazon children's pub,amazon children's pub,0--7614,2012,2012,1.0
124,1,amazon publishing,amazon publishing,0--7614;1--4778,2012,2014,2.0
125,1,amazoncrossing,amazoncrossing,1--5039,2018,2018,1.0
126,1,amber books,amber books,1--78274,2017,2017,1.0
127,1,ameco pub corp,ameco pub corp,0--912146,1987,1987,1.0
128,1,amereon house,amereon house,0--88411;0--8488,1981,1999,2.0
129,1,american academy of pediatrics,american academy of pediatrics,1--61002,2019,2019,1.0
130,1,american association of blood banks,american association of blood banks,1--56395,2009,2009,1.0
