F001_a,leader_18,isbn_tag,isbn_tag1,F008_0710,F040_e,F260_is,F264_is,F26x_b_cleaned,source
959595487,i,1--61200,1--61200,2017,0,0,1,casemate publishers,1
314268779,a,,,1976,0,1,0,avery color studios,1
1081309425,i,0--500,0--500,2018,1,0,1,thames and hudson inc,1
1088461401,i,0--299,0--299,2019,1,0,1,university of wisconsin press,1
10725108,a,0--226,0--226,1984,0,1,0,university of chicago press,1
959936729,i,1--938853,1--938853,2014,1,0,1,futurecycle press,1
5238923,i,,,1950,0,1,0,"lothrop, lee and shepard co",1
967081673,i,1--78497,1--78497,1995,1,0,1,head of zeus ltd,1
1001352306,i,0--85701,0--85701,2017,1,0,1,singing dragon,1
250020825, ,,,1962,0,1,0,pall mall press for the conference on atlantic community,1
241301468,a,0--7607,0--7607,2006,0,1,0,backpack books,1
889944149,a,0--9889290,0--9889290,2013,0,1,0,christian tape ministry,1
907206433,i,1--4683,1--4683,2015,1,0,1,overlook press,1
755068756,a,0--521,0--521,2011,0,1,0,cambridge university press,1
1018406258,i,1--5197,1--5197,2015,1,0,1,brea behn,1
3026688,i,,,1952,0,1,0,new american library,1
1024162800,a,,,1996,0,1,0,zondervan pub. house,1
757476631,a,,,1968,0,1,0,oxford university press,1
846803316,a,0--7534,0--7534,2012,0,1,0,kingfisher,1
1091234575,i,1--58394,1--58394,2016,0,0,1,north atlantic books,1
1003099860,i,1--947242,1--947242,2017,1,0,1,more than meets the i,1
961030897,a,0--06,0--06,2016,0,1,0,harperluxe,1
23190619,a,0--14 ;; 0--7100,0--14,1990,0,1,0,arkana,1
907206509,i,0--300,0--300,2015,1,0,1,yale university press,1
964699430,i,,,2016,1,0,1,carnegie endowment for international peace,1
19407158,a,0--262,0--262,1989,0,1,0,mit press,1
922007370,i,,,1961,1,0,1,harvard law review association,1
1038885250,i,,,2018,1,0,1,archaeological society of new mexico,1
921303193,i,0--9862773,0--9862773,2015,1,0,1,mind unlimited press,1
919481157,i,1--4438,1--4438,2015,1,0,1,cambridge scholars publishing,1
492659451,i,,,1967,0,1,0,john wiley and sons,1
841297451,i,0--19,0--19,2005,1,0,1,oxford university press,1
921240431,i,1--5081,1--5081,2016,1,0,1,powerkids press,1
893784192,i,1--59857,1--59857,2015,1,0,1,paul h. brookes publishing,1
728824863,a,0--7472,0--7472,1991,0,1,0,headline,1
47660907,a,,,1993,0,1,0,"university libraries, state university of new york at buffalo",1
301673393,a,,,1969,0,1,0,yale university press,1
908882675,i,1--78190,1--78190,2013,0,1,0,emerald,1
879359076,a,,,1969,0,1,0,pergamon press,1
316403642,a,0--415,0--415,1998,0,1,0,routledge.,1
1057557607,i,1--5323,1--5323,2018,1,0,1,lowebros publishing,1
34227180,a,,,1983,0,1,0,university microfilms international,1
900476011,i,1--5009,1--5009,2014,1,0,1,createspace,1
899267128,i,1--316 ;; 1--139,1--139,2015,1,0,1,cambridge university press,1
1039302589,i,0--86530,0--86530,2013,1,0,1,incentive publications,1
899974244,i,0--203 ;; 1--136,1--136,2014,1,0,1,routledge,1
758365437, ,,,1969,0,1,0,f. warne,1
4994718,i,,,1976,0,1,0,association of governing boards of universities and colleges,1
410367763,a,1--55504,1--55504,1987,0,1,0,john curley and associates,1
2312039,a,,,1976,0,1,0,wingbow press,1
38370194,a,0--8050,0--8050,1998,0,1,0,henry holt and co,1
317079659,i,,,1968,0,1,0,penguin books,1
961342381,i,1--78320,1--78320,2016,1,0,1,intellect,1
1097594762,a,0--14,0--14,1996,0,1,0,penguin books,1
958455241,i,1--315,1--315,2017,1,0,1,routledge,1
154759795,i,0--345,0--345,2007,1,0,1,del rey/ballantine books,1
83024667,a,0--19,0--19,1986,0,1,0,clarendon press,1
933281821,a,1--59756,1--59756,2007,0,1,0,plural publishing inc,1
704054555,a,0--8423,0--8423,1983,0,1,0,tyndale house publishers,1
895108469, ,,,1973,0,1,0,"josiah macy, jr. foundation",1
1050127192,a,0--87111,0--87111,1999,0,0,1,special libraries association,1
1009077496,i,1--107,1--107,2017,1,0,1,cambridge university press,1
1037455085,a,0--356,0--356,1988,0,1,0,queen anne press,1
15387144,a,,,1980,0,1,0,readex books,1
926327335,a,0--394,0--394,1975,0,1,0,pantheon books,1
644264024,i,,,2010,1,0,1,james madison university,1
226786399,a,0--06,0--06,2007,0,1,0,harper,1
5983048,i,,,1958,0,1,0,faber and faber,1
918594223,i,1--4939,1--4939,2015,1,0,1,springer,1
945804332,i,1--68324,1--68324,2016,1,0,1,center point large print,1
